Наименование,Наименование артикула,Код артикула,Валюта,ID артикула,Цена,Доступен для заказа,Зачеркнутая цена,Закупочная цена,В наличии,ID товара,Краткое описание,Описание,Наклейка,Статус,Выбор вариантов товара,Теги,Облагается налогом,Заголовок,META Keywords,META Description,Ссылка на витрину,Адрес видео на YouTube или Vimeo,Дополнительные параметры,Изображения товаров,Цвет,Материал,Высота,Толщина,Ширина,Размер,Открывание,Тип товаров,Остекление
Дверь Цельностеклянные,ДВ-ЦЕЛ-1,ДВ-ЦЕЛ-1,RUB,1,14400,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/e62/%D0%BF%D1%80%D0%B8%D0%B2%D1%8C%D1%8E.jpg,,,,,,,,Дверь Оникс,
Дверь Лайн,ДВ-ЛАЙ-2,ДВ-ЛАЙ-2,RUB,2,17100,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/bb4/%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F.png,,,,,,,,Дверь Оникс,
Дверь Нео,ДВ-НЕО-3,ДВ-НЕО-3,RUB,3,20600,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/f5e/%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F%20%284%29.png,,,,,,,,Дверь Оникс,
Дверь Сеул,ДВ-СЕУ-4,ДВ-СЕУ-4,RUB,4,19700,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/940/%D0%AD%D0%BC%D0%B0%D0%BB%D1%8C%20%D1%81%D0%BB%D0%BE%D0%BD%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%BA%D0%BE%D1%81%D1%82%D1%8C%20%D0%BF%D0%BE%20%D1%8F%D1%81%D0%B5%D0%BD%D1%8E%20%20%D0%A1%D0%B5%D1%83%D0%BB.jpg,,,,,,,,Дверь Оникс,
Дверь Силуэт,ДВ-СИЛ-5,ДВ-СИЛ-5,RUB,5,17200,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/b11/%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F%20%281%29.png,,,,,,,,Дверь Оникс,
Дверь Соло 2,ДВ-СОЛ-6,ДВ-СОЛ-6,RUB,6,23200,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/7a4/%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F%20%283%29.png,,,,,,,,Дверь Оникс,
Дверь Соло 3,ДВ-СОЛ-7,ДВ-СОЛ-7,RUB,7,24800,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/87c/%D0%A1%D1%82%D0%B5%D0%BA%D0%BB%D0%BE%20%D0%B1%D0%B5%D0%BB%20%D0%B8%20%D1%87%D1%91%D1%80%D0%BD%20-%20%D0%A1%D0%BE%D0%BB%D0%BE3%20%D1%81%D0%BE%D0%B1%D1%80.jpg,,,,,,,,Дверь Оникс,
Дверь Берлин,ДВ-БЕР-0,ДВ-БЕР-0,RUB,0,18600,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/716/%D0%94%D1%83%D0%B1%20%D0%B0%D0%BD%D1%82%D0%B8%D1%87%D0%BD%D1%8B%D0%B9%20-%20%D0%9D%D0%B0%D0%BB%D0%B8%D1%87%D0%BD%D0%B8%D0%BA%20%D0%BF%D1%80%D1%8F%D0%BC%D0%BE%D0%B9.jpg,,,,,,,,Дверь Оникс,
Дверь Лофт 1,ДВ-ЛОФ-1,ДВ-ЛОФ-1,RUB,1,16900,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/11f/1%20%D0%B4%D1%83%D0%B1%20%D0%B0%D0%BD%D1%82%D0%B8%D1%87%D0%BD%D1%8B%D0%B9%20%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F%20%D0%BF%D1%80%D0%B8%D0%B2%D1%8C%D1%8E.png,,,,,,,,Дверь Оникс,
Дверь Лофт 2,ДВ-ЛОФ-2,ДВ-ЛОФ-2,RUB,2,16900,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/ca5/2%20%D0%94%D1%83%D0%B1%20%D0%B3%D1%80%D0%B0%D1%84%D0%B8%D1%82%20-%20%D0%BB%D0%BE%D1%84%D1%82%20%D1%81%D0%B0%D0%B9%D1%82.png,,,,,,,,Дверь Оникс,
