Тип строки,Наименование,Наименование артикула,Код артикула,Валюта,ID артикула,Цена,Доступен для заказа,Зачеркнутая цена,Закупочная цена,В наличии,ID товара,Краткое описание,Описание,Наклейка,Статус,Выбор вариантов товара,Тип товаров,Теги,Облагается налогом,Заголовок,META Keywords,META Description,Ссылка на витрину,Адрес видео на YouTube или Vimeo,Дополнительные параметры,Изображения товаров,Цвет,Материал,Высота,Толщина,Ширина
product_variant,Арка Эллада,Эл-2П-БД-3,76,RUB,,6440,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2150,190,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БД-8,77,RUB,,7980,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2150,200-390,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БД-12,78,RUB,,8260,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2150,400-590,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БД-4,79,RUB,,7140,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2150,190,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БД-5,80,RUB,,7280,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2150,200-390,800-900
product_variant,Арка Эллада,Эл-2П-БД-9,81,RUB,,7560,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2150,400-590,800-900
product_variant,Арка Эллада,Эл-2П-БД-1,82,RUB,,6440,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2150,190,800-900
product_variant,Арка Эллада,Эл-2П-БД-6,83,RUB,,7280,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2150,200-390,900-1000
product_variant,Арка Эллада,Эл-2П-БД-10,84,RUB,,7560,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2150,400-590,900-1000
product_variant,Арка Эллада,Эл-2П-БД-2,85,RUB,,6440,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2150,190,900-1000
