Наименование,Наименование артикула,Код артикула,Валюта,ID артикула,Цена,Доступен для заказа,Зачеркнутая цена,Закупочная цена,В наличии,ID товара,Краткое описание,Описание,Наклейка,Статус,Выбор вариантов товара,Теги,Облагается налогом,Заголовок,META Keywords,META Description,Ссылка на витрину,Адрес видео на YouTube или Vimeo,Дополнительные параметры,Изображения товаров,Цвет,Материал,Высота,Толщина,Ширина,Размер,Открывание,Тип товаров,Остекление
Капитель фаберже,ПИ-ФАБ-3,ПИ-ФАБ-3,RUB,3,5200,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/032/%D1%84%D0%B0%D0%B1%D0%B5%D1%80%D0%B6%D0%B5%20%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F%20%D0%B0%D0%BD%D0%BE%D0%BD%D1%81.jpg,,,,,,,,Погонажные изделия,
Капитель с широким декором,ПИ-С-4,ПИ-С-4,RUB,4,5200,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/949/%D0%B7%D0%B0%D0%B3%D1%80%D1%83%D0%B6%D0%B5%D0%BD%D0%BD%D0%BE%D0%B5.png,,,,,,,,Погонажные изделия,
Капитель прованс,ПИ-ПРО-5,ПИ-ПРО-5,RUB,5,2750,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/3fb/%D0%BA%D0%B0%D0%BF%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%20%D0%9F%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D1%81%20%D0%B1%D0%B5%D0%BB%D0%B0%D1%8F%20%D1%8D%D0%BC%D0%B0%D0%BB%D1%8C%20%D0%B1%D0%BE%D0%BA%20%D0%B0%D0%BD%D0%BE%D0%BD%D1%81.jpg,,,,,,,,Погонажные изделия,
Капитель антика,ПИ-АНТ-6,ПИ-АНТ-6,RUB,6,5200,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/cfb/%D0%B0%D0%BD%D1%82%D0%B8%D0%BA%D0%B0%20%D0%B7%D0%BE%D0%BB%D0%BE%D1%82%D0%BE1.jpg,,,,,,,,Погонажные изделия,
Стыковочный элемент,ПИ-ЭЛЕ-7,ПИ-ЭЛЕ-7,RUB,7,630,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/12c/%D1%81%D1%82%D1%8B%D0%BA%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D1%8B%D0%B9%20%D1%8D%D0%BB%D0%B5%D0%BC%D0%B5%D0%BD%D1%82.jpg,,,,,,,,Погонажные изделия,
Планка,,,RUB,0,1220,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/f7e/%D0%BF%D0%BE%D0%B4%D0%BA%D0%B0%D0%BF%D0%B8%D1%82%D0%B5%D0%BB%D1%8C.jpg,,,,,,,,Погонажные изделия,
Планка цветок,ПИ-ЦВЕ-1,ПИ-ЦВЕ-1,RUB,1,4060,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/b08/%D1%8D%D0%BC%D0%B0%D0%BB%D1%8C%20%D0%B1%D0%B5%D0%BB%D0%B0%D1%8F%20%D0%BF%D0%B0%D1%82%D0%B8%D0%BD%D0%B0%20%D1%81%D0%B5%D1%80%D0%B5%D0%B1%D1%80%D0%BE%20-%20%D0%9F%D0%BE%D0%B4%D0%BA%D0%B0%D0%BF%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F%20%D0%BF%D0%BB%D0%B0%D0%BD%D0%BA%D0%B0%20%D0%A6%D0%B2%D0%B5%D1%82%D0%BE%D0%BA%20%D0%B1%D0%BE%D0%BA%20%D0%B0%D0%BD%D0%BE%D0%BD%D1%81.jpg,,,,,,,,Погонажные изделия,
Планка цветок широкая,ПИ-ЦВЕ-2,ПИ-ЦВЕ-2,RUB,2,4860,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/d03/%D0%AD%D0%BC%D0%B0%D0%BB%D1%8C%20%D1%87%D1%91%D1%80%D0%BD%D0%B0%D1%8F%20%D0%BF%D0%B0%D1%82%D0%B8%D0%BD%D0%B0%20%D1%81%D0%B5%D1%80%D0%B5%D0%B1%D1%80%D0%BE%20-%20%D0%9F%D0%BE%D0%B4%D0%BA%D0%B0%D0%BF%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F%20%D0%BF%D0%BB%D0%B0%D0%BD%D0%BA%D0%B0%20%D0%A6%D0%B2%D0%B5%D1%82%D0%BE%D0%BA%20%D1%88%D0%B8%D1%80%D0%BE%D0%BA%D0%B0%D1%8F%20%D0%B0%D0%BD%D0%BE%D0%BD%D1%81.jpg,,,,,,,,Погонажные изделия,
Планка гладкая,ПИ-ГЛА-3,ПИ-ГЛА-3,RUB,3,1790,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/60e/%D1%8D%D0%BC%D0%B0%D0%BB%D1%8C%207040%20-%20%D0%9F%D0%BE%D0%B4%D0%BA%D0%B0%D0%BF%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F%20%D0%BF%D0%BB%D0%B0%D0%BD%D0%BA%D0%B0%20%D0%B3%D0%BB%D0%B0%D0%B4%D0%BA%D0%B0%D1%8F%20%D0%BF%D1%80%D0%B8%D0%B2%D1%8C%D1%8E.jpg,,,,,,,,Погонажные изделия,
Планка ромбы,ПИ-РОМ-4,ПИ-РОМ-4,RUB,4,4060,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/b27/%D0%BF%D0%BE%D0%B4%D0%BA%D0%B0%D0%BF%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%20%D0%A0%D0%BE%D0%BC%D0%B1%D1%8B.jpg,,,,,,,,Погонажные изделия,
